Brnd_Name,Gnrc_Name,RxCUI,ATC_Code,ATC_Class,ATC_L1,MESH_Class,Match_Type
Ondansetron HCl*,Ondansetron HCl,203148.0,A04AA,Serotonin (5HT3) antagonists,Alimentary tract and metabolism,Alcoholism,exact
Ondansetron ODT,Ondansetron,373149.0,A04AA,Serotonin (5HT3) antagonists,Alimentary tract and metabolism,Alcoholism,approx
Onexton,Clindamycin Phos/Benzoyl Perox,1598820.0,D10AE,Peroxides,Dermatologicals,Rosacea,exact
Onfi,Clobazam,1191051.0,N05BA,Benzodiazepine derivatives,Nervous system,Seizures,exact
Ongentys,Opicapone,2362173.0,N04BX,Other dopaminergic agents,Nervous system,Parkinson Disease,exact
Onglyza,Saxagliptin HCl,858037.0,A10BH,Dipeptidyl peptidase 4 (DPP-4) inhibitors,Alimentary tract and metabolism,"Diabetes Mellitus, Type 2",exact
Onivyde,Irinotecan Liposomal,1719773.0,L01CE,Topoisomerase 1 (TOP1) inhibitors,Antineoplastic and immunomodulating agents,Leukemia,exact
Onpattro,"Patisiran Sodium,Lipid Complex",2053525.0,N07XX,Other nervous system drugs,Nervous system,"Amyloid Neuropathies, Familial",exact
Ontruzant,Trastuzumab-Dttb,2289228.0,L01FD,HER2 (Human Epidermal Growth Factor Receptor 2) inhibitors,Antineoplastic and immunomodulating agents,Breast Neoplasms,exact
Onureg,Azacitidine,2396765.0,L01BC,Pyrimidine analogues,Antineoplastic and immunomodulating agents,"Anemia, Refractory",exact
Onzetra Xsail,Sumatriptan Succinate,1745866.0,,,,Cluster Headache,approx
Opdivo,Nivolumab,1597881.0,L01FF,PD-1/PD-L1 (Programmed cell death protein 1/death ligand 1) inhibitors,Antineoplastic and immunomodulating agents,Lymphoma,exact
Opdualag,Nivolumab-Relatlimab-Rmbw,2596780.0,L01FF,PD-1/PD-L1 (Programmed cell death protein 1/death ligand 1) inhibitors,Antineoplastic and immunomodulating agents,Lymphoma,exact
Opium Tincture,Opium Tincture,221134.0,A07DA,Antipropulsives,Alimentary tract and metabolism,Pain,exact
Opsumit,Macitentan,1442138.0,C02KX,Antihypertensives for pulmonary arterial hypertension,Cardiovascular system,"Hypertension, Pulmonary",exact
Opzelura,Ruxolitinib Phosphate,2570753.0,D11AH,"Agents for dermatitis, excluding corticosteroids",Dermatologicals,Polycythemia Vera,exact
Oracea,Doxycycline Monohydrate,643822.0,A01AB,Antiinfectives and antiseptics for local oral treatment,Alimentary tract and metabolism,Plague,exact
Oracit,Citric Acid/Sodium Citrate,218911.0,A09AB,Acid preparations,Alimentary tract and metabolism,Urinary Calculi,exact
Oralair,Gr Pol-Orc/Sw Ver/Rye/Kent/Tim,1590986.0,,,,,approx
Oralone,Triamcinolone Acetonide,544401.0,A01AC,Corticosteroids for local oral treatment,Alimentary tract and metabolism,Uveitis,exact
Orbactiv,Oritavancin Diphosphate,1547616.0,J01XA,Glycopeptide antibacterials,Anti-infectives for systemic use,Streptococcal Infections,exact
