Brnd_Name,Gnrc_Name,RxCUI,ATC_Code,ATC_Class,ATC_L1,MESH_Class,Match_Type
1st Tier Unifine Pentips,"Pen Needle, Diabetic",2000851.0,,,,,approx
1st Tier Unifine Pentips Plus,"Pen Needle, Diabetic",2000855.0,,,,,approx
Abacavir,Abacavir Sulfate,190521.0,J05AR,"Antivirals for treatment of HIV infections, combinations",Anti-infectives for systemic use,Acquired Immunodeficiency Syndrome,exact
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,614534.0,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors,Anti-infectives for systemic use,Acquired Immunodeficiency Syndrome,exact
Abilify,Aripiprazole,352393.0,N05AX,Other antipsychotics,Nervous system,Schizophrenia,exact
Abilify Asimtufii,Aripiprazole,2639131.0,,,,Schizophrenia,approx
Abilify Maintena,Aripiprazole,1602164.0,,,,Schizophrenia,approx
Abilify Mycite,Aripiprazole,2569185.0,,,,Schizophrenia,approx
Abiraterone Acetate,Abiraterone Acetate,1100071.0,L02BX,Other hormone antagonists and related agents,Antineoplastic and immunomodulating agents,"Prostatic Neoplasms, Castration-Resistant",exact
Abraxane,Paclitaxel Protein-Bound,589511.0,L01CD,Taxanes,Antineoplastic and immunomodulating agents,"Sarcoma, Kaposi",exact
Abrysvo,"Rsv Vacc, Pref A And Pref B/PF",2642144.0,,,,,exact
Absorica,Isotretinoin,1299198.0,D10AD,Retinoids for topical use in acne,Dermatologicals,Leukemia,exact
Absorica Ld,"Isotretinoin, Micronized",2282007.0,,,,,approx
Acamprosate Calcium,Acamprosate Calcium,152761.0,N07BB,Drugs used in alcohol dependence,Nervous system,Alcoholism,exact
Acanya,Clindamycin Phos/Benzoyl Perox,810005.0,D10AE,Peroxides,Dermatologicals,Rosacea,exact
Acarbose,Acarbose,16681.0,A10BF,Alpha glucosidase inhibitors,Alimentary tract and metabolism,"Diabetes Mellitus, Type 2",exact
Accolate,Zafirlukast,135092.0,R03DC,Leukotriene receptor antagonists,Respiratory system,Asthma,exact
Accutane,Isotretinoin,202795.0,D10AD,Retinoids for topical use in acne,Dermatologicals,Leukemia,exact
Acebutolol HCl,Acebutolol HCl,142130.0,C07AB,"Beta blocking agents, selective",Cardiovascular system,Hypertension,exact
Acetamin-Caff-Dihydrocodeine,Acetaminophen/Caff/Dihydrocod,689569.0,N02BE,Anilides,Nervous system,Pain,exact
Acetaminophen,Acetaminophen,161.0,N02BE,Anilides,Nervous system,Pain,exact
Acetaminophen-Codeine,Acetaminophen With Codeine,817579.0,N02BE,Anilides,Nervous system,Pain,exact
Acetazolamide,Acetazolamide,167.0,S01EC,Carbonic anhydrase inhibitors,Sensory organs,Glaucoma,exact
Acetazolamide ER,Acetazolamide,370526.0,S01EC,Carbonic anhydrase inhibitors,Sensory organs,Glaucoma,approx
Acetazolamide Sodium,Acetazolamide Sodium,91406.0,S01EC,Carbonic anhydrase inhibitors,Sensory organs,Glaucoma,exact
Acetic Acid*,Acetic Acid,168.0,G01AD,Organic acids,Genito-urinary system and sex hormones,Otitis Externa,exact
Acetylcysteine*,Acetylcysteine,197.0,R05CB,Mucolytics,Respiratory system,Pneumonia,exact
Aciphex,Rabeprazole Sodium,261440.0,A02BC,Proton pump inhibitors,Alimentary tract and metabolism,Heartburn,exact
Acitretin,Acitretin,16818.0,D05BB,Retinoids for treatment of psoriasis,Dermatologicals,Psoriasis,exact
Actemra Actpen,Tocilizumab,2107804.0,,,,"Arthritis, Juvenile",approx
Actemra*,Tocilizumab,895761.0,L04AC,Interleukin inhibitors,Antineoplastic and immunomodulating agents,"Arthritis, Juvenile",exact
Acthar,Corticotropin,1040019.0,H01AA,ACTH,Systemic hormonal preparations,Uveitis,exact
Acthib,Haemoph B Poly Conj-Tet Tox/PF,637866.0,,,,,exact
Actimmune,"Interferon Gamma-1b,Recomb.",258348.0,,,,Warts,exact
Activella,Estradiol/Norethindrone Acet,261441.0,,,,,approx
Actonel,Risedronate Sodium,753143.0,,,,"Paget Disease, Extramammary",exact
Actoplus Met,Pioglitazone HCl/Metformin HCl,602411.0,A10BG,Thiazolidinediones,Alimentary tract and metabolism,"Diabetes Mellitus, Type 2",exact
Actos,Pioglitazone HCl,261442.0,A10BG,Thiazolidinediones,Alimentary tract and metabolism,"Diabetes Mellitus, Type 2",exact
Acular,Ketorolac Tromethamine,152819.0,M01AB,Acetic acid derivatives and related substances,Musculo-skeletal system,Pain,exact
Acular Ls,Ketorolac Tromethamine,404828.0,,,,Pain,approx
Acuvail,Ketorolac Tromethamine/PF,858359.0,M01AB,Acetic acid derivatives and related substances,Musculo-skeletal system,Pain,exact
Acyclovir Sodium,Acyclovir Sodium,81944.0,D06BB,Antivirals,Dermatologicals,Chickenpox,exact
Acyclovir*,Acyclovir,281.0,D06BB,Antivirals,Dermatologicals,Chickenpox,exact
Aczone,Dapsone,605173.0,D10AX,Other anti-acne preparations for topical use,Dermatologicals,"Leprosy, Lepromatous",exact
Adacel Tdap,"Diph,Pertuss(Acell),Tet Vac/PF",731391.0,,,,,approx
Adakveo,Crizanlizumab-Tmca,2262426.0,B06AX,Other hematological agents,Blood and blood forming organs,,exact
Adalimumab-Adaz(Cf),Adalimumab-Adaz,2641642.0,L04AB,Tumor necrosis factor alpha (TNF-alpha) inhibitors,Antineoplastic and immunomodulating agents,Uveitis,approx
Adalimumab-Adaz(Cf) Pen,Adalimumab-Adaz,2641642.0,L04AB,Tumor necrosis factor alpha (TNF-alpha) inhibitors,Antineoplastic and immunomodulating agents,Uveitis,approx
Adalimumab-Fkjp(Cf) Pen,Adalimumab-Fkjp,2640402.0,L04AB,Tumor necrosis factor alpha (TNF-alpha) inhibitors,Antineoplastic and immunomodulating agents,Uveitis,approx
Adapalene,Adapalene,60223.0,D10AD,Retinoids for topical use in acne,Dermatologicals,Acne Vulgaris,exact
Adapalene-Benzoyl Peroxide,Adapalene/Benzoyl Peroxide,859393.0,D10AE,Peroxides,Dermatologicals,Rosacea,exact
Adbry,Tralokinumab-Ldrm,2589380.0,D11AH,"Agents for dermatitis, excluding corticosteroids",Dermatologicals,"Dermatitis, Atopic",exact
Adcetris,Brentuximab Vedotin,1147324.0,L01FX,Other monoclonal antibodies and antibody drug conjugates,Antineoplastic and immunomodulating agents,Hodgkin Disease,exact
Adcirca,Tadalafil,849863.0,G04BE,Drugs used in erectile dysfunction,Genito-urinary system and sex hormones,"Hypertension, Pulmonary",exact
Adderall,Dextroamphetamine/Amphetamine,84815.0,N06BA,Centrally acting sympathomimetics,Nervous system,Narcolepsy,exact
Adderall XR,Dextroamphetamine/Amphetamine,352398.0,,,,,approx
Adefovir Dipivoxil,Adefovir Dipivoxil,141400.0,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors,Anti-infectives for systemic use,"Hepatitis B, Chronic",exact
Adempas,Riociguat,1439889.0,C02KX,Antihypertensives for pulmonary arterial hypertension,Cardiovascular system,"Hypertension, Pulmonary",exact
Adlarity,Donepezil HCl,2597448.0,N06DA,Anticholinesterases,Nervous system,Alzheimer Disease,exact
Admelog,Insulin Lispro,1992165.0,A10AB,"Insulins and analogues for injection, fast-acting",Alimentary tract and metabolism,Hyperglycemia,exact
Admelog Solostar,Insulin Lispro,1999591.0,,,,Hyperglycemia,approx
Adrenalin,Epinephrine,1490053.0,A01AD,Other agents for local oral treatment,Alimentary tract and metabolism,Anaphylaxis,exact
Adthyza,"Thyroid,Pork",2671586.0,,,,Goiter,exact
Advair Diskus,Fluticasone Propion/Salmeterol,284649.0,,,,,approx
Advair HFA,Fluticasone Propion/Salmeterol,643325.0,,,,,approx
Advocate Pen Needle,"Pen Needle, Diabetic",1745798.0,,,,,approx
Advocate Pen Needles,"Pen Needle, Diabetic",1745798.0,,,,,approx
Advocate Syringes,"Syring-Needl,Disp,Insul,0.3 Ml",669348.0,B02BD,Blood coagulation factors,Blood and blood forming organs,Hemorrhage,approx
Adzenys XR-ODT,Amphetamine,1743255.0,,,,Narcolepsy,approx
Aemcolo,Rifamycin Sodium,2106357.0,A07AA,Antibiotics,Alimentary tract and metabolism,,exact
Afinitor,Everolimus,845509.0,L01EG,Mammalian target of rapamycin (mTOR) kinase inhibitors,Antineoplastic and immunomodulating agents,,exact
Afinitor Disperz,Everolimus,1481494.0,,,,,approx
Afrezza,"Insulin Regular, Human",1543203.0,A10AB,"Insulins and analogues for injection, fast-acting",Alimentary tract and metabolism,Hyperkalemia,exact
Agrylin,Anagrelide HCl,215060.0,L01XX,Other antineoplastic agents,Antineoplastic and immunomodulating agents,Thrombocytosis,exact
Aimovig Autoinjector,Erenumab-Aooe,2058425.0,,,,,approx
Airduo Digihaler,Fluticasone Propion/Salmeterol,2462574.0,,,,,approx
Airduo Respiclick,Fluticasone Propion/Salmeterol,1924702.0,,,,,approx
Airsupra,Albuterol Sulfate/Budesonide,2665908.0,A07EA,Corticosteroids acting locally,Alimentary tract and metabolism,Asthma,exact
Ajovy Autoinjector,Fremanezumab-Vfrm,2361619.0,,,,,approx
Ajovy Syringe,Fremanezumab-Vfrm,2056698.0,N02CD,Calcitonin gene-related peptide (CGRP) antagonists,Nervous system,,approx
Ak-Poly-Bac,Bacitracin/Polymyxin B Sulfate,214931.0,,,,,approx
Akeega,Niraparib/Abiraterone,2645245.0,L02BX,Other hormone antagonists and related agents,Antineoplastic and immunomodulating agents,Ovarian Neoplasms,exact
Aklief,Trifarotene,2205643.0,D10AD,Retinoids for topical use in acne,Dermatologicals,Acne Vulgaris,exact
Akten,Lidocaine HCl/PF,809470.0,C01BB,"Antiarrhythmics, class Ib",Cardiovascular system,Pain,exact
Akynzeo,Fosnetupitant/Palonosetron,1552344.0,A04AA,Serotonin (5HT3) antagonists,Alimentary tract and metabolism,,exact
Ala-Cort,Hydrocortisone,215068.0,A01AC,Corticosteroids for local oral treatment,Alimentary tract and metabolism,Shock,exact
Ala-Scalp,Hydrocortisone,884074.0,A01AC,Corticosteroids for local oral treatment,Alimentary tract and metabolism,Shock,exact
Albendazole,Albendazole,430.0,P02CA,Benzimidazole derivatives,Antiparasitic products,Giardiasis,exact
Albuked-25,Albumin Human,2119078.0,,,,Burns,approx
Albumin (Human),Albumin Human,828529.0,,,,Burns,exact
Alburx,Albumin Human,404834.0,,,,Burns,exact
Albutein,Albumin Human,151314.0,,,,Burns,exact
Albuterol Sulfate HFA,Albuterol Sulfate,607792.0,,,,Asthma,approx
Albuterol Sulfate*,Albuterol Sulfate,142153.0,R03AC,Selective beta-2-adrenoreceptor agonists,Respiratory system,Asthma,exact
Alclometasone Dipropionate,Alclometasone Dipropionate,17268.0,D07AB,"Corticosteroids, moderately potent (group II)",Dermatologicals,Dermatitis,exact
Alcohol Pads,Alcohol Antiseptic Pads,132135.0,,,,,approx
Alcohol Prep Pads,Alcohol Antiseptic Pads,797544.0,D08AX,Other antiseptics and disinfectants,Dermatologicals,,exact
Alcohol Swab,Alcohol Antiseptic Pads,245106.0,,,,,approx
Alcohol Swabs,Alcohol Antiseptic Pads,245106.0,,,,,approx
Alcohol Wipes,Alcohol Antiseptic Pads,832878.0,,,,,approx
Aldactazide,Spironolact/Hydrochlorothiazid,17276.0,C03AA,"Thiazides, plain",Cardiovascular system,Edema,exact
Aldactone,Spironolactone,151317.0,C03DA,Aldosterone antagonists,Cardiovascular system,Edema,exact
Aldurazyme,Laronidase,404838.0,A16AB,Enzymes,Alimentary tract and metabolism,Mucopolysaccharidosis I,exact
Alecensa,Alectinib HCl,1727480.0,L01ED,Anaplastic lymphoma kinase (ALK) inhibitors,Antineoplastic and immunomodulating agents,"Carcinoma, Non-Small-Cell Lung",exact
Alendronate Sodium,Alendronate Sodium,203152.0,,,,"Paget Disease, Extramammary",exact
Alfuzosin HCl ER,Alfuzosin HCl,2647592.0,,,,Prostatic Hyperplasia,approx
Alimta,Pemetrexed Disodium,323879.0,L01BA,Folic acid analogues,Antineoplastic and immunomodulating agents,"Neoplasms, Mesothelial",exact
Aliqopa,Copanlisib Di-HCl,1945082.0,L01EM,Phosphatidylinositol-3-kinase (Pi3K) inhibitors,Antineoplastic and immunomodulating agents,"Lymphoma, Follicular",exact
Aliskiren,Aliskiren Hemifumarate,325646.0,C09XA,Renin-inhibitors,Cardiovascular system,Hypertension,exact
Allopurinol,Allopurinol,519.0,M04AA,Preparations inhibiting uric acid production,Musculo-skeletal system,Gout,exact
Allzital,Butalbital/Acetaminophen,2279002.0,N02BE,Anilides,Nervous system,Pain,exact
Almotriptan Malate,Almotriptan Malate,283792.0,N02CC,Selective serotonin (5HT1) agonists,Nervous system,Migraine Disorders,exact
Alogliptin,Alogliptin Benzoate,1368000.0,A10BH,Dipeptidyl peptidase 4 (DPP-4) inhibitors,Alimentary tract and metabolism,"Diabetes Mellitus, Type 2",exact
Alogliptin-Metformin,Alogliptin Benz/Metformin HCl,1368384.0,A10BH,Dipeptidyl peptidase 4 (DPP-4) inhibitors,Alimentary tract and metabolism,"Diabetes Mellitus, Type 2",exact
Alogliptin-Pioglitazone,Alogliptin Benz/Pioglitazone,1368402.0,A10BH,Dipeptidyl peptidase 4 (DPP-4) inhibitors,Alimentary tract and metabolism,"Diabetes Mellitus, Type 2",exact
Alomide,Lodoxamide Tromethamine,71901.0,S01GX,Other antiallergics,Sensory organs,Keratoconjunctivitis,exact
Alosetron HCl,Alosetron HCl,85247.0,A03AE,Serotonin receptor antagonists,Alimentary tract and metabolism,Diarrhea,exact
Alphagan P,Brimonidine Tartrate,352415.0,,,,"Glaucoma, Open-Angle",approx
Alprazolam,Alprazolam,596.0,N05BA,Benzodiazepine derivatives,Nervous system,Agoraphobia,exact
Alprazolam ER,Alprazolam,615202.0,,,,Agoraphobia,approx
Alprazolam Intensol,Alprazolam,582227.0,,,,Agoraphobia,approx
Alprazolam ODT,Alprazolam,485412.0,N05BA,Benzodiazepine derivatives,Nervous system,Agoraphobia,approx
Alprazolam XR,Alprazolam,615202.0,,,,Agoraphobia,approx
Alrex,Loteprednol Etabonate,215176.0,,,,Edema,exact
Altabax,Retapamulin,716664.0,D06AX,Other antibiotics for topical use,Dermatologicals,Impetigo,exact
Altace,Ramipril,262418.0,C09AA,"ACE inhibitors, plain",Cardiovascular system,Hypertension,exact
Altavera,Levonorgestrel/Ethin.Estradiol,1115017.0,,,,,approx
Altoprev,Lovastatin,541841.0,C10AA,HMG CoA reductase inhibitors,Cardiovascular system,Hypercholesterolemia,exact
Altreno,Tretinoin,2055004.0,D10AD,Retinoids for topical use in acne,Dermatologicals,Acne Vulgaris,exact
Alunbrig,Brigatinib,1921223.0,L01ED,Anaplastic lymphoma kinase (ALK) inhibitors,Antineoplastic and immunomodulating agents,"Carcinoma, Non-Small-Cell Lung",exact
Alvesco,Ciclesonide,356739.0,R01AD,Corticosteroids,Respiratory system,"Rhinitis, Allergic, Seasonal",exact
Alyacen,Norethindrone-Ethin. Estradiol,1293096.0,,,,,approx
Alymsys,Bevacizumab-Maly,2599045.0,L01FG,VEGF/VEGFR (Vascular Endothelial Growth Factor / -Receptor) inhibitors,Antineoplastic and immunomodulating agents,Glioblastoma,exact
Alyq,Tadalafil,2110450.0,G04BE,Drugs used in erectile dysfunction,Genito-urinary system and sex hormones,"Hypertension, Pulmonary",exact
Amabelz,Estradiol/Norethindrone Acet,1863992.0,,,,,approx
Amantadine,Amantadine HCl,282415.0,N04BB,Adamantane derivatives,Nervous system,Dystonia,exact
Amaryl,Glimepiride,153592.0,A10BB,Sulfonylureas,Alimentary tract and metabolism,"Diabetes Mellitus, Type 2",exact
Ambien,Zolpidem Tartrate,131725.0,N05CF,Benzodiazepine related drugs,Nervous system,Sleep Initiation and Maintenance Disorders,exact
Ambien Cr,Zolpidem Tartrate,605002.0,,,,Sleep Initiation and Maintenance Disorders,approx
Ambisome,Amphotericin B Liposome,151338.0,A01AB,Antiinfectives and antiseptics for local oral treatment,Alimentary tract and metabolism,Cystitis,exact
Ambrisentan,Ambrisentan,358274.0,C02KX,Antihypertensives for pulmonary arterial hypertension,Cardiovascular system,"Hypertension, Pulmonary",exact
Amcinonide,Amcinonide,17652.0,D07AC,"Corticosteroids, potent (group III)",Dermatologicals,Dermatitis,exact
Amethia,L-Norgest/E.Estradiol-E.Estrad,1149653.0,,,,,approx
Amethyst,Levonorgestrel/Ethin.Estradiol,1119319.0,,,,,approx
Amicar,Aminocaproic Acid,204292.0,B02AA,Amino acids,Blood and blood forming organs,Hemorrhage,exact
Amikacin Sulfate,Amikacin Sulfate,641.0,D06AX,Other antibiotics for topical use,Dermatologicals,Burns,exact
Amiloride HCl,Amiloride HCl,142424.0,C03DB,Other potassium-sparing agents,Cardiovascular system,Edema,exact
Amiloride-Hydrochlorothiazide,Amiloride/Hydrochlorothiazide,214212.0,C03AA,"Thiazides, plain",Cardiovascular system,Edema,exact
Aminocaproic Acid*,Aminocaproic Acid,99.0,B02AA,Amino acids,Blood and blood forming organs,Hemorrhage,exact
Amiodarone HCl*,Amiodarone HCl,203114.0,C01BD,"Antiarrhythmics, class III",Cardiovascular system,Ventricular Fibrillation,exact
Amitiza,Lubiprostone,615205.0,A06AX,Other drugs for constipation,Alimentary tract and metabolism,Constipation,exact
Amitriptyline HCl,Amitriptyline HCl,203168.0,N06AA,Non-selective monoamine reuptake inhibitors,Nervous system,Pain,exact
Amjevita(Cf),Adalimumab-Atto,2627713.0,L04AB,Tumor necrosis factor alpha (TNF-alpha) inhibitors,Antineoplastic and immunomodulating agents,Uveitis,approx
Amjevita(Cf) Autoinjector,Adalimumab-Atto,2627721.0,L04AB,Tumor necrosis factor alpha (TNF-alpha) inhibitors,Antineoplastic and immunomodulating agents,Uveitis,approx
Amlodipine Besylate,Amlodipine Besylate,104416.0,C08CA,Dihydropyridine derivatives,Cardiovascular system,Hypertension,exact
Amlodipine Besylate-Benazepril,Amlodipine Besylate/Benazepril,214223.0,C08CA,Dihydropyridine derivatives,Cardiovascular system,Hypertension,exact
Amlodipine-Atorvastatin,Amlodipine/Atorvastatin,404773.0,C08CA,Dihydropyridine derivatives,Cardiovascular system,Hypertension,exact
Amlodipine-Olmesartan,Amlodipine Bes/Olmesartan Med,1009015.0,C09CA,"Angiotensin II receptor blockers (ARBs), plain",Cardiovascular system,Hypertension,exact
Amlodipine-Valsartan,Amlodipine Besylate/Valsartan,729455.0,C08CA,Dihydropyridine derivatives,Cardiovascular system,Hypertension,exact
Amlodipine-Valsartan-HCTZ,Amlodipine/Valsartan/HCThiazid,852897.0,C08CA,Dihydropyridine derivatives,Cardiovascular system,Edema,exact
Ammonium Lactate,Ammonium Lactate,215247.0,,,,Ichthyosis Vulgaris,exact
Amnesteem,Isotretinoin,404854.0,D10AD,Retinoids for topical use in acne,Dermatologicals,Leukemia,exact
Amondys-45,Casimersen,2480101.0,M09AX,Other drugs for disorders of the musculo-skeletal system,Musculo-skeletal system,"Muscular Dystrophy, Duchenne",exact
Amoxapine,Amoxapine,722.0,N06AA,Non-selective monoamine reuptake inhibitors,Nervous system,Depressive Disorder,exact
Amoxicillin,Amoxicillin,133008.0,J01CA,Penicillins with extended spectrum,Anti-infectives for systemic use,Sinusitis,exact
Amoxicillin-Clavulanate Pot ER,Amoxicillin/Potassium Clav,994199.0,,,,,approx
Amoxicillin-Clavulanate Potass,Amoxicillin/Potassium Clav,19711.0,J01CA,Penicillins with extended spectrum,Anti-infectives for systemic use,Sinusitis,approx
Amphetamine Sulfate,Amphetamine Sulfate,3288.0,N06BA,Centrally acting sympathomimetics,Nervous system,Narcolepsy,exact
Amphotericin B,Amphotericin B,732.0,A01AB,Antiinfectives and antiseptics for local oral treatment,Alimentary tract and metabolism,Cystitis,exact
Amphotericin B Liposome,Amphotericin B Liposome,236594.0,A01AB,Antiinfectives and antiseptics for local oral treatment,Alimentary tract and metabolism,Cystitis,exact
Ampicillin Sodium*,Ampicillin Sodium,81953.0,J01CA,Penicillins with extended spectrum,Anti-infectives for systemic use,Gonorrhea,exact
Ampicillin Trihydrate,Ampicillin Trihydrate,203115.0,J01CA,Penicillins with extended spectrum,Anti-infectives for systemic use,Gonorrhea,exact
Ampicillin-Sulbactam*,Ampicillin Sod/Sulbactam Sod,1009148.0,J01CR,"Combinations of penicillins, incl. beta-lactamase inhibitors",Anti-infectives for systemic use,Gonorrhea,exact
Ampyra,Dalfampridine,897022.0,N07XX,Other nervous system drugs,Nervous system,Multiple Sclerosis,exact
Amrix,Cyclobenzaprine HCl,725085.0,M03BX,Other centrally acting agents,Musculo-skeletal system,Pain,exact
Amvuttra,Vutrisiran Sodium,2604790.0,N07XX,Other nervous system drugs,Nervous system,Polyneuropathies,exact
Amzeeq,Minocycline HCl,2257674.0,A01AB,Antiinfectives and antiseptics for local oral treatment,Alimentary tract and metabolism,Plague,exact
Anafranil,Clomipramine HCl,756.0,N06AA,Non-selective monoamine reuptake inhibitors,Nervous system,Pain,exact
Anagrelide HCl,Anagrelide HCl,236612.0,L01XX,Other antineoplastic agents,Antineoplastic and immunomodulating agents,Thrombocytosis,exact
Analpram HC*,Hydrocortisone/Pramoxine,215264.0,C05AD,Local anesthetics,Cardiovascular system,Pain,exact
Anaspaz,Hyoscyamine Sulfate,769.0,A03BA,"Belladonna alkaloids, tertiary amines",Alimentary tract and metabolism,Colic,exact
Anastrozole,Anastrozole,84857.0,L02BG,Aromatase inhibitors,Antineoplastic and immunomodulating agents,Breast Neoplasms,exact
Androderm,Testosterone,215283.0,G03BA,3-oxoandrosten (4) derivatives,Genito-urinary system and sex hormones,Hypogonadism,exact
Androgel,Testosterone,261448.0,G03BA,3-oxoandrosten (4) derivatives,Genito-urinary system and sex hormones,Hypogonadism,exact
Angeliq,Drospirenone/Estradiol,475357.0,,,,Menorrhagia,approx
Annovera,Segesterone Ac/Ethin Estradiol,2055984.0,G03CA,"Natural and semisynthetic estrogens, plain",Genito-urinary system and sex hormones,Menorrhagia,exact
Anoro Ellipta,Umeclidinium Brm/Vilanterol Tr,1489109.0,,,,,approx
Antivert,Meclizine HCl,91818.0,R06AE,Piperazine derivatives,Respiratory system,Vertigo,exact
Anusol-HC,Hydrocortisone,151363.0,A01AC,Corticosteroids for local oral treatment,Alimentary tract and metabolism,Shock,exact
Apexicon E,Diflorasone Diacet/Emollient,966578.0,,,,,approx
Apidra,Insulin Glulisine,607583.0,A10AB,"Insulins and analogues for injection, fast-acting",Alimentary tract and metabolism,Hyperglycemia,exact
Apidra Solostar,Insulin Glulisine,849095.0,,,,Hyperglycemia,approx
Aplenzin,Bupropion HBr,835486.0,N06AX,Other antidepressants,Nervous system,Depressive Disorder,exact
Apokyn,Apomorphine HCl,544581.0,G04BE,Drugs used in erectile dysfunction,Genito-urinary system and sex hormones,Parkinson Disease,exact
Apomorphine HCl,Apomorphine HCl,1043.0,G04BE,Drugs used in erectile dysfunction,Genito-urinary system and sex hormones,Parkinson Disease,exact
Apraclonidine HCl,Apraclonidine HCl,14845.0,S01EA,Sympathomimetics in glaucoma therapy,Sensory organs,Ocular Hypertension,exact
Aprepitant,Aprepitant,358255.0,A04AD,Other antiemetics,Alimentary tract and metabolism,,exact
Apretude,Cabotegravir,2588044.0,J05AJ,Integrase inhibitors,Anti-infectives for systemic use,HIV Infections,exact
Apri,Desogestrel-Ethinyl Estradiol,261451.0,,,,Menorrhagia,approx
Apriso,Mesalamine,825131.0,A07EC,Aminosalicylic acid and similar agents,Alimentary tract and metabolism,Proctitis,exact
Aptensio XR,Methylphenidate HCl,1658354.0,,,,Narcolepsy,approx
Aptiom,Eslicarbazepine Acetate,1482508.0,N03AF,Carboxamide derivatives,Nervous system,Seizures,exact
Aptivus,Tipranavir,614593.0,J05AE,Protease inhibitors,Anti-infectives for systemic use,Acquired Immunodeficiency Syndrome,exact
Aralast NP,Alpha-1-Proteinase Inhibitor,796284.0,,,,alpha 1-Antitrypsin Deficiency,approx
Aranelle,Norethindrone-Ethin. Estradiol,607700.0,,,,,approx
Aranesp,Darbepoetin Alfa In Polysorbat,337045.0,B03XA,Other antianemic preparations,Blood and blood forming organs,Anemia,exact
Arava,Leflunomide,215393.0,L04AK,Dihydroorotate dehydrogenase (DHODH) inhibitors,Antineoplastic and immunomodulating agents,"Arthritis, Rheumatoid",exact
Arazlo,Tazarotene,2267562.0,D05AX,Other antipsoriatics for topical use,Dermatologicals,Psoriasis,exact
Arcalyst,Rilonacept,763454.0,L04AC,Interleukin inhibitors,Antineoplastic and immunomodulating agents,Inflammation,exact
Arestin,Minocycline HCl Microspheres,352444.0,A01AB,Antiinfectives and antiseptics for local oral treatment,Alimentary tract and metabolism,Plague,exact
Arexvy,Rsvpref3 Antigen/As01e/PF,2636595.0,,,,,exact
Arformoterol Tartrate,Arformoterol Tartrate,668284.0,,,,Bronchial Spasm,exact
Aricept,Donepezil HCl,135446.0,N06DA,Anticholinesterases,Nervous system,Alzheimer Disease,exact
Arikayce,Amikacin Liposomal/Neb.Accessr,2059185.0,D06AX,Other antibiotics for topical use,Dermatologicals,Burns,exact
Arimidex,Anastrozole,262485.0,L02BG,Aromatase inhibitors,Antineoplastic and immunomodulating agents,Breast Neoplasms,exact
Aripiprazole,Aripiprazole,89013.0,N05AX,Other antipsychotics,Nervous system,Schizophrenia,exact
Aripiprazole ODT,Aripiprazole,643018.0,N05AX,Other antipsychotics,Nervous system,Schizophrenia,approx
Aristada,Aripiprazole Lauroxil,1673270.0,,,,Schizophrenia,exact
Aristada Initio,"Aripiprazole Lauroxil,Submicr.",2050942.0,,,,,approx
Arixtra,Fondaparinux Sodium,322155.0,B01AX,Other antithrombotic agents,Blood and blood forming organs,Venous Thrombosis,exact
Armodafinil,Armodafinil,641465.0,N06BA,Centrally acting sympathomimetics,Nervous system,Sleep Wake Disorders,exact
Armonair Digihaler,Fluticasone Propionate,2463559.0,,,,"Rhinitis, Allergic, Perennial",approx
Armour Thyroid,"Thyroid,Pork",215407.0,,,,Goiter,exact
Arnuity Ellipta,Fluticasone Furoate,2722665.0,,,,"Rhinitis, Allergic, Perennial",approx
Aromasin,Exemestane,262105.0,L02BG,Aromatase inhibitors,Antineoplastic and immunomodulating agents,Breast Neoplasms,exact
Arthrotec 50,Diclofenac Sodium/Misoprostol,68373.0,D11AX,Other dermatologicals,Dermatologicals,Keratosis,approx
Arthrotec 75,Diclofenac Sodium/Misoprostol,1359109.0,D11AX,Other dermatologicals,Dermatologicals,Keratosis,approx
Asa-Butalb-Caffeine-Codeine,Codeine/Butalbital/Asa/Caffein,214160.0,A01AD,Other agents for local oral treatment,Alimentary tract and metabolism,Gout,exact
Asacol Hd,Mesalamine,858651.0,,,,Proctitis,approx
Asceniv,"Immune Globulin,Gamma(IgG)slra",2123038.0,,,,Immunologic Deficiency Syndromes,exact
Ascomp With Codeine,Codeine/Butalbital/Asa/Caffein,1372693.0,A01AD,Other agents for local oral treatment,Alimentary tract and metabolism,Gout,exact
Asenapine Maleate,Asenapine Maleate,784649.0,N05AH,"Diazepines, oxazepines, thiazepines and oxepines",Nervous system,Schizophrenia,exact
Ashlyna,L-Norgest/E.Estradiol-E.Estrad,1653160.0,,,,,approx
Asmanex,Mometasone Furoate,616812.0,D07AC,"Corticosteroids, potent (group III)",Dermatologicals,Pruritus,exact
Asmanex HFA,Mometasone Furoate,1666114.0,,,,Pruritus,approx
Aspirin-Dipyridamole ER,Aspirin/Dipyridamole,1660414.0,,,,Gout,approx
Aspruzyo Sprinkle,Ranolazine,2594754.0,C01EB,Other cardiac preparations,Cardiovascular system,Angina Pectoris,exact
Assure Id Insulin Safety,"Syringe,Needle,Insuln,Safe,1ml",2044255.0,,,,,approx
Assure Id Pen Needle,"Pen Needle, Diabetic, Safety",637093.0,,,,,approx
Astagraf XL,Tacrolimus,1437715.0,,,,"Dermatitis, Atopic",approx
